차 이름,연식,키로수,가격
볼보 S90 T8 AWD 얼티메이트 브라이트,22/12식(23년형),"27,000km","6,700"
현대 더 뉴 그랜저 IG 하이브리드 르블랑,21/09식(22년형),"39,000km","1,892"
테슬라 모델 Y 롱 레인지,21/09식,"52,580km","5,900"
르노코리아(삼성) SM7 노바 LPLI 2.0 LPe 장애인용,16/07식(17년형),"113,700km",790
테슬라 모델 X 롱 레인지,23/06식,"14,000km","8,085"
기아 K8 하이브리드 노블레스,21/08식(22년형),"36,341km","3,380"
도요타 캠리 (XV70) 2.5 XLE 하이브리드,21/09식(22년형),"46,000km","2,770"
테슬라 모델 3 롱 레인지,22/05식,"42,000km","4,600"
렉서스 ES300h 7세대 럭셔리 플러스,23/05식,"25,000km","5,400"
BMW i8 쿠페,15/12식,"96,000km","6,750"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페 플래티넘 에디션,23/03식,"11,395km","15,500"
아우디 Q4 e-트론 40 프리미엄,22/10식(23년형),"38,600km","4,490"
벤츠 EQS V297 EQS350,22/07식,"10,300km","8,700"
기아 K8 하이브리드 노블레스,22/06식(23년형),"26,500km","4,000"
기아 K8 하이브리드 시그니처 스페셜,23/06식,"8,300km","4,500"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페,22/02식,"38,000km","5,940"
기아 더 뉴 쏘렌토 4세대 HEV 1.6 2WD 프레스티지,23/07식,"13,000km","3,900"
테슬라 모델 Y 롱 레인지,22/09식,"14,000km","7,000"
기아 K8 하이브리드 시그니처,22/11식(23년형),"22,000km","1,522"
기아 스포티지 5세대 하이브리드 시그니처 그래비티 2WD,23/07식,"8,000km","2,800"
현대 아이오닉 일렉트릭 Q,19/08식,"92,500km","1,350"
테슬라 모델 Y 스탠다드 레인지,21/09식,"51,880km","4,450"
쉐보레(GM대우) 스파크 LPG LS 기본형,12/04식,"130,000km",150
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,19/04식,"53,000km","2,600"
테슬라 모델 S 롱 레인지,20/12식,"45,000km","5,548"
BMW iX3 M 스포츠,23/09식,"10,200km","6,200"
현대 아이오닉 일렉트릭 Q,17/04식,"137,900km","1,070"
쉐보레(GM대우) 뉴 라보 SUPER,15/12식,"49,880km",480
BMW iX3 M 스포츠,22/07식,"49,000km","4,600"
기아 더 뉴 K5 LPI 디럭스,15/01식,"99,960km",680
현대 투싼 하이브리드 (NX4) 인스퍼레이션 2WD,23/12식,"4,500km","3,500"
포르쉐 타이칸 베이스,23/12식(24년형),"3,500km","14,500"
르노코리아(삼성) 뉴SM5(신형) LPLI LE,11/08식,"144,000km",230
벤츠 EQE V295 EQE350 4MATIC,23/03식,"29,868km","6,800"
도요타 시에나 4세대 2.5 하이브리드 2WD,22/03식,"56,000km","5,180"
르노코리아(삼성) SM5 LPG,05/07식,"276,459km",150
미니 쿠퍼 일렉트릭 레솔루트 에디션 1세대,23/07식,"10,150km","3,300"
렉서스 ES300h 7세대 이그제큐티브,19/04식,"59,000km","4,300"
테슬라 모델 3 롱 레인지,22/03식,"65,000km","4,200"
아우디 Q4 e-트론 40 프리미엄 스포트백,23/12식,13km,"5,690"
BMW X5 (G05) xDrive 50e xLine,24/02식,"4,000km","13,000"
테슬라 모델 Y 롱 레인지,22/05식,"38,900km","3,465"
현대 더 뉴 싼타페 HEV 1.6 2WD 익스클루시브,23/11식(24년형),"31,400km","1,000"
테슬라 모델 Y 롱 레인지,22/08식,"33,300km","1,924"
현대 더 뉴 싼타페 HEV 1.6 2WD 프레스티지,22/05식,"15,800km","3,500"
포르쉐 타이칸 4S,21/01식,"35,000km","12,200"
BMW X5 (G05) xDrive 45e M 스포츠,22/02식,"32,500km","9,633"
기아 디 올 뉴 니로 시그니처,22/03식,"35,500km","2,870"
BMW 3시리즈 (G20) 330e M 스포츠,23/01식,"17,700km","6,011"
현대 YF 쏘나타 LPI 디럭스,10/10식(11년형),"220,486km",440
BMW i5 (G60) eDrive 40 M 스포츠 프로,23/12식(24년형),"4,500km","8,700"
기아 디 올 뉴 니로 시그니처,23/03식(24년형),"18,450km","3,264"
현대 그랜저 IG 3.0 LPI 택시형 모범형,18/06식,"235,000km","1,130"
테슬라 모델 3 스탠다드 레인지 플러스,20/03식,"155,000km","2,690"
테슬라 모델 X 롱 레인지,20/10식,"160,000km","7,200"
쉐보레(GM대우) 스파크 LPG L,12/10식,"119,500km",380
쉐보레(GM대우) 뉴 다마스 2인승 판넬밴 DLX,15/03식,"81,226km",430
기아 올 뉴 K7 하이브리드 노블레스,19/04식,"93,100km","1,600"
현대 아이오닉 일렉트릭 Q,17/05식,"99,736km","1,450"
기아 쏘렌토 4세대 HEV 1.6 2WD 노블레스,22/06식,"25,618km","3,800"
현대 그랜저 뉴 럭셔리 LPI Q270 팩1,09/10식(10년형),"235,000km",230
현대 아이오닉5 N,23/12식(24년형),"7,974km","6,650"
현대 더 뉴 그랜저 IG 하이브리드 프리미엄 초이스,20/10식,"56,000km",295
미니 쿠퍼 일렉트릭 젠 ZE 에디션 1세대,22/06식,"7,623km","2,596"
BMW i8 쿠페,16/12식,"121,000km","6,200"
현대 그랜저 하이브리드 (GN7) 익스클루시브,23/02식,"17,000km","3,465"
인피니티 Q50 3.5 블루 스포츠 센서리,17/11식(18년형),"74,500km","1,899"
테슬라 모델 3 퍼포먼스,22/06식,"22,600km","5,450"
쉐보레(GM대우) 볼트 EV EV 프리미어,19/05식,"105,000km","1,680"
KG모빌리티(쌍용) 토레스 EVX E7,23/11식(24년형),"10,960km","3,820"
현대 코나 하이브리드 모던 스페셜,19/10식(20년형),"115,000km","1,650"
기아 EV6 롱레인지 에어,21/10식(22년형),"43,000km","3,100"
현대 쏘나타 하이브리드 2.0 프리미어,12/09식,"138,904km",490
기아 스포티지 5세대 하이브리드 프레스티지 2WD,22/05식,"21,100km","2,412"
벤츠 EQS V297 EQS450+ AMG 라인,22/10식,"35,000km","9,500"
